author,text,classification
@RandomStuff-i4i,"Since when does an ambulance take people home.  
What's wrong with that blonde bimbo guy.",1
@rc6251,"""Cut it out or you're going home in an ambulance"" 


It was at that moment I knew she had a penis.",1
@JoeMergl,Exactly you're not a lady and you're going to act like that,1
@davidsherman1206,"'To come out as transgender is incredibly difficult '
How come so many people manage it then?",0
@Dmspeakstruth,His inner man rage came out lmao,1
@yishairabinowitz4051,Ben Shapiro is the GOAT,0
@CD-lw6fl,This was a joke back then itâ€™s a joke still,0
@MrSimonson,The fact that everyone in that room was more than happy to condone physical contact and a threat of further violence is beyond me.,1
@joehoncho8557,Here is an example of the tolerant people that suffer from delusions.,1
@AlexanderSchrÃ¶der777,Ben Shapiro.,0
@AlexanderSchrÃ¶der777,We should make shirts â€œthatâ€™s seams mildly inappropriate for a political discussionâ€_x009d_,0
@deanvm9158,That threat is a man-threat. Thank you for proving the point sir!,1
@Orcasrule6355,Shapiro is not only a bigot heâ€™s a class A dirtbag.,1
@rainsoundsforyou408,"Shes very ladylike omg, man comes when its needed ðŸ˜‚ðŸ˜‚ðŸ˜‚",1
@troyc4841,An ambulance has never brought me home.,0
@mariomunoz6883,funny that the travesty behaves like a man when threatens Shapiro to hurt him.  He is a total man and a Bully. jajja,1
@WhiteBoyEst1994,â€œHey I think your testosterone is showingâ€_x009d_,1
@WhiteBoyEst1994,I would have said â€œI highly doubt it sirâ€_x009d_,0
@cptdjf9646,"Girls will be boys and boys will be girls 
It's a mixed up, muddled up, shook up world, except for LOLA",0
@ethangovan602,All of them accept that one guy are sellouts and are scared to have there own opinion,0
@kdelary,That's the sweetest-sounding threat I've ever heard.,1
@BrendonWestern,Wellâ€¦.. you actually go to a hospital in an ambulance not go home! and to threaten someone with violence is such a man thing to say ðŸ˜‚,1
@weareallanimals,I lost all respect for Dr. Drew after this.  You don't put your hands on somebody else to intimidate them.  I don't care who you think you are.,0
@jacksonjack8696,Bunch of cowards,1
@buddybonner9783,I have been curious about that guy since Silence of the Lambs,0
@titodude,"Kathleen supports Trump, so I do respect whatever she wants me to call her!",0
@asheppydoggy,Stating the truth = egregiously insulting,1
@benschmalspur3452,The Chromosomes define the gender. Sorry this is commen knowladge.,0
@WealthyWalters,Soft ass generation,1
@virgilioortiz9867,Dios destruyÃ³ Sodoma y Gomorra.,0
@jeromefitzroy,Is Shapiro male?,0
@naethanhutcheon7452,And the award for bravest person in the room goes to... Ben Shapiro ðŸ˜‚,0
@bae409,BEN SHAPIRO ....RESPECTðŸ”¥ðŸ”¥ðŸ”¥,0
@seeking7656,Stick to o.j. documentaries,0
@Playboyer670,"XX: Female
XY: Male
I identify as...: Delusional",1
@givelast5671,Can anybody tell me why Ben Shapiro brought up the holocaust?,0
@XpChains,"Lol. Too be fair, this bloke is allow to threaten you because you hurt his feelings.",1
@royalalpha.1377,What,0
@CourtneyTroy,Ben was the ONLY person in that room that spoke facts and the truth. All of the others have zero backbone.,0
@ruizsebastien6583,Facts donâ€™t care about your feelings ðŸ˜‚ðŸ˜‚ðŸ˜‚,0
@eliteintelectual.9948,Hitler forgot about Shapiro unfortunately,1
@BULERICUSMAXIMUS,"Zoey, dude, get your shit together, man!",1
@RitaIzzo-jj5pu,You hear that jack ass saying I'm not on that train lol shut the F up,1
@4NaturesStory,I would have said â€œI dare you sweetheart. Iâ€™ll treat you like the man you are.â€_x009d_ ðŸ˜ˆ Ring the bell,1
@jamesgreen4014,Youâ€™ll go home in an ambulance ðŸš‘ ðŸ˜‚ isnâ€™t it hospital ðŸ_x008f_¥?,1
@Ryu_Shotokan,Careful mam your sir is coming out.,1
@user-hd9qm7td7n,That MAN is pissed,1
@marcusjosephmusic,"""Being transgender is about being yourself"" by surgically altering yourself to become someone else",1
@razor961000,Not very lady like ðŸ˜®,1
@NyalBurns,Facts donâ€™t care about your feelings. Get recked libtard! ðŸ˜ŽðŸ˜ŽðŸ˜Ž,1
@DazAttack-uc3kf,ðŸ˜‚ðŸ˜‚ðŸ˜‚ â€œsaying that to Zoeâ€_x009d_ floored me ðŸ˜‚ðŸ˜‚ðŸ˜‚,0
@MrHand-ih4sz,1 honest man amid 6 sheep.,0
@LearnTrend_Online,Let's speak the truth. This is sick and absurd,1
@Jarrosnshajahwh,"Resorting to violence, typical male behavior ðŸ˜‚",1
@ogrevlogger9448,yâ€™all calling that abomination a SHE ??â€¦. thats a fucking HE in a dress,1
@jeffholman8146,*does he deserve it,1
@Taegreth,"Somehow that guy gets away with physically threatening Ben. Also notice that guy repeatedly touching Ben's shoulder, then his hand around the back of Ben's neck. Wtf?",0
@heimstaden4588,Some sick fuks in the video,1
@englemint,Count the panel. Now only two do not need prostate exams :),1
@MikaelRegium,That wasnâ€™t Caitlyn that was BRUCE.,1
@lizbhr,The testorone in that guy Bruce hahhaha so dumb!,1
@Amz11_13,The fact that this person put their hands on another person and threatened to send them home in an ambulance is beyond inappropriate.,0
@Michael-ni9fs,Zoey becomes a man in a second threatening shapiro ðŸ˜‚,1
@JohnMackenzieInverness,"Yeah if you don't use my pronouns you will go home in an Ambulance He /She has shown they have lost the argument No matter what he wears you cant control the Alpha Male
Two Genders Male & Female only TWO",1
@Romans5.1,"Ben , youâ€™re the only one talking sense.",0
@socialismsucks5404,Communists are violent.  People with gender delusions are violent.  This is a communist struggle session.  These people don't belong in a civil society.  They can't be lived with.,1
@subramaniamkmathvan3661,"Telling a man he ia man ......is the truth.
How can that be insulting?",0
@JohnMelin-t9h,He is a bully still a bloke,1
@JohnMelin-t9h,He is a she who caresðŸ˜Š,0
@dewaynesworld3414,"Ben Shapiro was probably bullied in high school and revels in his wealth and power and ability to punch down.  
In high school it doesn't matter if you are heterosexual in fact for the bullies purposes it might even be better. Bullies will call you the F word homosexual epithet. He lacks muscle and he is short so I imagine he was bullied.  Also seeing transwomen must trigger him because he is not exactly the most masculine looking man.  Prescription for Ben Shapiro accept people who are different from you get on testosterone replacement therapy and take up powerlifting at the gym.",1
@TacticalTrolling,Thats just a boy in a dress.,1
@jeancoombs4241,Only 2 genders â€¦,0
@JohnTheteller,"We see that now, what bunchs of manipulators . Thanks god this generation will not take that BS",1
@edwardo995,Stupid ben,1
@13Recon19D,That wasnt very lady like,1
@blacjackdaniels200,Why canâ€™t they accept the pronoun â€œitâ€_x009d_?,0
@VoltoreCorvino,Bro is Jew. What did you expect from him?,1
@AirDrifter77,"""You just called me sir, you just called me sir"" because you're a male you dumbass lmao",1
@jacobholland2884,Bahaha you the man Shapiro,0
@virtualjukebox1887,How ladylike of shim ðŸ¥´,1
@Zhm6802,"Shapiro and a transgender person in one video, the worst video in history",0
@CapeFilms,He*,0
@aaronsmith9202,Brave tell that to the heroes who died for this country. Transgenders won't ever be brave.,1
@SIEMPRECAMPEON,"NACISTE HOMBRE DE GENERO, ERES HOMBRE.
NACISTE MUJER DE GENERO, ERES MUJER.
QUIERES SER UN ""REPUBONICAREDO"" O COMO QUIERAS LLAMARTE EN EL FUTURO ... CONSIDERALO ASI Y NO MOLESTES.
PARA MI SON HOMBRE Y MUJER Y PUNTO.",1
@MJW238,â€œFacts donâ€™tâ€™ care about your feelingsâ€_x009d_ - says the guy wearing a funny little hat because he invisible friend told him too.,1
@Davidyisroel,This womanðŸ‘  has manpower ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜Ši love ben,1
@Vladteemia_Gufin,dude with balls play dressing up in womenâ€™s clothing,1
@jesusdominguez8944,"Ben ""no, no ambulance call me a cab instead, thanks""",0
@JoshEubank,"There's only two gingers, male female.All that other s*** is b*******The dumb f****",1
@JoshEubank,He's the one that went to the ambulance. He already went to the ambulance. He had surgery. You are a Sr,0
@TonyFrickey-ur9jy,Plot twist: Caitlin is an ambulance driver and wants to seduce Ben.,0
@TonyFrickey-ur9jy,Uhh... The left is so p.c. that any one of their members is afraid to say what they really think. They are trapped in candy land.,0
@HarshJ_ohn,Aggressions primarily a male trait,1
@DennisSonnentag,His award should have been a dildoe!,1
@Markb51291,I mean hes not wrong. Hes a dickhead but hes not wrong,1
@jacquelinepereira4852,These transgender people are literally crazyyyyyyyy,1
@bradypando4770,â€œWhy are we mainstreaming delusion?â€_x009d_ BAR,1
@lyanna518,"Ben shapiro should have said

â€œThats really something not a woman would sayâ€_x009d_",0
@rodpark442,"Ben is awesome and spot on, the others are left with just physical threats",0
@ghostjedi1162,"Mr Shapiro is the only one whose not delusional, everyone else up there needs to live in the water with the sharks and dolphins",0
@SteveMorris-j4w,NO the moment this trans clown acted like the MALE he is ... LOL,1
@foxgloverose4788,That man argues just like an abusive man! Go figure.,1
@Silvashoots,Shapiro really got mogged here. Lil Benji.,0
@Ovxium,What does Ja Rule think of all this?ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,0
@JourneyofBella331,"And with that violently aggressive jester, he proved he is in fact a man. Thats something a man would do in a bar when his team is losing.",1
@Ø§Ù„Ø´Ø§Ù_x0081_Ø¹ÙŠÙ…Ø°Ù‡Ø¨Ø§Ø§Ù„Ø¥Ø³Ø­Ø§Ù‚ÙŠÙ†Ø³Ø¨Ø§Ø§Ù„ØµÙˆÙ…Ø§,The way he grabbed his neck and threatened him shows that he is still a man. A biological woman would never dare to do that.,1
@D-Will2k,ðŸ˜‚ðŸ˜‚,0
@andrewferns1680,"Iâ€™m a bit late but I bet none of those people including the black guy , specially the black guy would let their daughter share a female change room or female toilet with him. ðŸ˜‚ðŸ˜‚",1
@myyoutube7144,Good for her. Put that little keebler elf Looking ZioNazi in his place. Someone has to reach rightwingers respect.,1
@claudehall7889,That wasn't very lady like. Only a man would have that response,1
@emilanaman3750,It Wants to act like a man when it's triggered by the truth!,1
@clareowens2597,God Iâ€™m so glad we have moved past this â€œyesâ€_x009d_ phase bullshit of our history. Seriously how absolutely ridiculous. And that Zoe man? He looks like my uncle Robert with a wig.,1
@LogoForLife,Looks like the only one telling the truth is Ben.,0
@CampbellCollier-wq2ox,Look at this fuking freakâ€¦yes you SIRâ€¦.Zoe,1
@SkylerCleary,Ben is right,0
@KeithSage,Shame.,1
@mattayres5147,"What has the world come to , sitting around discussing this utter rubbish.",1
@begobertran9739,"Ben Shapiro needs someone to put him where he belongs, the garbage ðŸ—‘ï¸_x008f_",1
@jairar2587,Hahahahahahahahahahahahahahaa ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,0
@tonynazzaro694,This Fâ€¦.t Zoey is lucky I wasnâ€™t in the audience. ðŸ˜®,1
@andrewingram2108,Freaks,1
@dougiemcbriar1998,"She's once, twice three times a bloke ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£",1
@mzatijohnjnrmataya2795,Dem men that shit is crazy ðŸ˜‚,1
@headofathousandsheepswool,slay!!,0
@chelewolfe9651,He just proved he is a man by grabbing his neck and threatening him.,1
@michelletenowitz3831,Well said Mr. Shapiro ðŸ‘_x008d_,0
@daveclayton4090,"Even 8 years on he's still got male chromosomes, end of story. But transvesites are who they are not a problem.",1
@Anonymityfan,It's funny how he stopped pretending to be a woman when he wanted to threaten someone?,1
@D-2-the-no,Chick Z got a chin like that bad guy who got his jaw broke in Tango and Cash,1
@waynesworld7804,This is what happens when you â€œtransâ€_x009d_ after puberty. All that testosterone!,1
@eugenepidgeon1270,Good for  Ben!!!,0
@dmonty9258,Big tough trans man but a man non the less. This panel is made of fools that want you all to be fools along with them. Only one thinking person in the whole lot.,1
@master451000,Default reset *activated ðŸ¤£,0
@nejhejokej,Omg this trans have som ballsðŸ˜‚,1
@monikacase770,So would calling him a b**** as opposed to Sir be better? I think calling him sir was more respectful than him saying you'll go home in an ambulance!,1
@YChromosome99,2:00 Here come the man in Zoey.,0
@br1ooksmith104,"My response to the shim would be: ""you've got some balls my friend"" ðŸ˜‚",1
@josephkraus8036,"â€œSheâ€_x009d_ sounded like a threatening man right now, talking about or youâ€™ll go home in an ambulance.",1
@arnaldofraire925,zoey is a man playing dress up,1
@Aleksandra-yg3sv,Chromosoms arÄ™ like diffrent ko inds IT is at least five types of dna,0
@KoolerThanYou2,The black dude a clown.,1
@bondfool,"She could wad him up and throw him across the room, and she should have.",1
@azura6845,Iâ€™m a trans-man and that caught me SOOOO off-guard!!! Why would anyone say that! Itâ€™s making trans people look bad :( I apologize for that personâ€™s behavior.,0
@Danceskeleton,ICONIC AFFFFFFFFF,0
@KenApo-k9r,Is that woman have big balls or he have mango ðŸ¥­â€¦..???,1
@Asong3D,"Ben Shapiro being so firm about chromosomes this chromosomes that is hilarious, I bet he's never heard of intersex.",1
@Polka96B,Look: My view is that she is the only Trans Republican that speaks out against men in women sports.  So maybe cut her some slack? We need all the help we can get.,0
@jamesbezotte366,Shanon your not a man maybe consider a transition?,1
@tomdonegan4750,Ma'am do you have a penis?,1
@welvanons,"Well Ben, that is a big guy ðŸ˜±ðŸ˜±ðŸ˜±",0
@Taz247,"That person is a male i dont care what he identifies as he is genetically a man and delusional he needs help 


Live your life as you want but dont force others to identify you as a woman you are man period",1
@jakeblaine2380,Good for her.,0
@CarolOwen-cj4sq,"DRAFT BILL PASSED.   All men 18 to 26 yrs old.    All people identified as MALE AT BIRTH will be entered in the Draft.    GOVERNMENT HAS SPOKEN.  THERE ARE ONLY 2 Genders.    Regardless of your feelings.  If you were born with a penis you will be entered into Draft Service.   Regardless of your Pronoun, if you were born with a penis you Will serve
if called.   END OF DISCUSSION",1
@ancient_technique,Ben is based for this and the rest are cowards,1
@kamenscauldron8047,"ben shapiro verbally assaults a trans person then calls her angry response ""inappropriate"" - classic narcissistic abuse",1
@DominicNatale-x8x,If Bruce put his hands in me and threatened me like that the outcome wouldn't be good,1
@luckyme5276,"""You cut that out now or you go home in a n ambulance""

ben: Now that's a man right there",1
@Davan1331-x1p,If a man wants to be a woman then he needs to have his weiner cut off.,1
@victor-ib1jn,all of these woke simps are pathetic but each time i remember how much i hate ben i come back to this video ðŸ˜‚ðŸ˜‚,1
@hejdingamleraev,"Ben Shapiro should know that even though facts don't care about feelings, fists do.",1
@amareyez8791,queen shit,1
@doylehargrave233,DSM5â€¦.not educated on genetics?? XX XY DIPSHIT,1
@Broters1993,White ppl be like,1
@jigmesherpa7272,Did they say him courageous???ðŸ˜…,1
@sherikrupp,"The reason SHE got away with threatening him is because repeatedly insulting someone intentionally and knowing exactly what youâ€™re doing isnâ€™t appropriate in a debate. She shouldnâ€™t have handled it like this and sheâ€™s a vulture for what she does for a living, but heâ€™s a scumbag for what he does ðŸ¤·ðŸ_x008f_»â€_x008d_â™€ï¸_x008f_ So really they should be great friends. They both suck. 

Also, feel free to yell at me in the comments but Iâ€™m not going to answer ðŸ˜‚ I donâ€™t have the time to bicker with people who hate others based on made up constructs.",1
@Will-nn3pb,"""How he feels on the inside is irrelevant to the question of his biological sex""  well said

Now you can technically change your gender but you cant really go against the law of nature, thats how we are born, Its not like Skyrim where you get to create your character at the start of lifeðŸ˜‚
Im a ginger, i have orange hair, i can change my hair colour with dye if i want too. But my hair will always grow back as my natural colour. 


Im a respectable person. I wont hurt anyones feelings on this and i wont judge a person. But in todays world, they put all this shit in your face.
Pride month...wtf you need a month for that? Theres no straight month, theres even a trans flag....a flag is, by definition from Google : ""symbol or emblem of a country or institution"" 

I get the acknowledgement of Gays, Lesbians' and Trans. Not that long ago it was illegal or frowned upon. And its all open today. That's great. Its all about Love. Im all for it.
But  its going too overboard where its getting ridiculous.",1
@samuelshort327,This dude needs to be stuffed in a locker,1
@chris-nj3vg,Always a classic to come back to ;),0
@TemmieMinh,"Bro wears a tiny hat and talks about ""facts don't care about feeling""? Lmao!",1
@marianmckinney6663,coming from a pip squeak in a beanie.,1
@trey9233,That wasnâ€™t very ladylike,1
@MelissaSaunders-qx5bt,"ben shapiro is a closet homosexual and doesn't want it to get out, but i found pictures 2 years ago on the internet with him in bed with a transgender woman",1
@ttburnside2265,Nobody cares about how you FEEL!! Facts are facts even if you FEEL they're being rude.,0
@willnyathi9560,"Pfft, that one threatening Ben Shapiro.ðŸ˜‚ðŸ˜‚ðŸ˜‚ All of a sudden you got balls now",1
@Sign-oi4oc,"LOL ðŸ˜…ðŸ˜‚ðŸ¤£ðŸ˜­. Me at 0:37, trying to understand my math teacher.",0
@philipbriney4430,Not brave not a woman just a man pretending to be a woman.,1
@SnowMoonWitch,Respecting a pronoun is so incredibly easy that not doing it is intentionally disrespecting someone and trying to cause harm.,0
@brandyhaywood6256,Men in frocks - so sad and dreadful.,1
@1975jessejames,People lost their minds You a man you will always will be a man even if you get it cut off,1
@James-q8p4i,That MAN jenner should go to jail for hitting someone with his car,1
@OCC5942,"Ben Shapiro won in that argument, especially the moment he asked the dude-dressed-like-a-woman â€œwhat are you genetics, sir?â€_x009d_ 

HAHAHAHAHAHA. I so love you, Ben Shapiro!",0
@Dd25-qr25,Look at them all Iâ€™m not on that train equals to I want to keep my job and show how lefty I am and if it all changed tomorrow they all will be laughing along and speak about facts and science,0
@bobkumar8754,Zoe got her jockstrap in a twist !! LOL,1
@islewait6107,"I think that one lost a lot of respect to threaten Ben; so I think we know where there is a sore spot. While the mouth claims it isn't, the words tell another story, don't they?ðŸ¤”ðŸ˜Ž",0
@buddyrogers1353,Dude at the end has it completely backward. Zoey is egregiously insulting. I wouldn't sit there and allow Zoey to gaslight me with his nonsense either.,1
@joseantoninongo2924,Black guy just wants to save his career. He goes back to the homies and he be like â€œs***! that was some weird f*****y s*** this morningâ€_x009d_.,1
@LouisBilodeau-k4s,Just guys with tits. Ted,1
@SefJo-kc3hx,That black guy is an embarrassment.,1
@s.man.u3643,That was the funniest clip Iâ€™ve seen in a while I swear,0
@hanifink5761,Didnâ€™t the dude in the dress just threaten to send Ben Shapiro away in an ambulance?? No one even remarks that,0
@AK-rv6dq,Ben is such a weenie,1
@abdikarimismail442,Cut it out know or you going ambulance home thad line who's helerius to me ðŸ˜‚ðŸ˜‚ watch what you saying boy,1
@gabychats,"Watching in 2024, Zoey is a very disturbing and threatening man. As a woman I hope never to see him in women only spaces.",1
@KonohaRamenNoodles,Ben Shapiro is a weasel and heâ€™s still the only sane person in that room.,1
@twilson6158,"The entire squad is cowardly, ganging up on the smaller man after being threatened by a larger man for speaking nothing but the truth.",1
@shamsterthehamster,Fuck around find out,1
@nickiiminajj9148,queen,0
@medbii,"God Shapiro such a fraud ðŸ’€ðŸ’€ 
immediately lost all his bravado when she grabbed him",1
@golgiplasm4660,ben shapiro sucks dude he was purposefully being obtuse to draw that kind of reaction out because then he could say â€œthatâ€™s inappropriate for a political discussionâ€_x009d_,1
@AltaV998,"I'm surprised they didn't call her a ""nazi"".",1
@TheAllAmericanSocialistMTR1000,"""Facts over feelings unless they're mine."" -Ben Shapiro",0
@Sean-q4f4v,Our grandparents stormed the Normandy beaches.  They've got to be rolling over in their graves listening to us bicker over this nonsense.,1
@HotSalamiandBacon,Hahaha â€œIâ€™ve been shot and stabbed..â€_x009d_by dudes who found out you was a man a little too late.. ðŸ˜‚ðŸ˜‚ðŸ˜‚,1
@dmj8891,Being physically threatened by a man in a frock must be an odd mixture of entertaining and frightening.,1
@theneification,"â€œIâ€™ve been shot, stabbedâ€¦.being transgender is the bravest thing you can doâ€_x009d_ ffs lol this thing needs help",1
@nantwon,Iâ€™d love to watch her turn him into soup,1
@Jack76962,Crazy transgender clown,1
@sleepforever,As an oncology nurse ... When a man comes up into the treatment room with testicles cancer ..... And identify as a female ðŸ˜‚,1
@BirdBrain1337,"I'm still wondering what adrenochrome Ben's got running.
Doesn't age body OR mind, its incredible.",0
@DinosaurNick,Good job standing up for yourself. Being a woman doesn't mean being weak and being a man doesn't mean hiding emotions. Let women defend themselves and men cry.,0
@r3tro374,He is lucky ben shapiro isnt some mma fighter or some big fighter. Hell i would have turned her promouns was/were real quick after that.,1
@timmcgee4669,We would have to fight. Fuck this man lady,1
@TopFlightSecurity415,smh the black dude....we dont claim him,1
@fred9760,They put an Oreo on the show,1
@torqtorqtorq,Look at this comments section full of ignorance,0
@andrescm1022,Greatest moment in TV history!! ðŸŽ‰,0
@jameswiggle,if you are here from facebook....guess what. That is not a real woman.,1
@beachchill9655,Zoey is an idiot lol,1
@beachchill9655,Pathetic,1
@aaronmiles2802,"That cucked fruit is an embarrassment to Black men, why get that dude on the show?ðŸ¤¦ðŸ_x008f_¿â€_x008d_â™‚ï¸_x008f_",1
@413PDS,"I never thought that I would see the day where calling a male sir, would be interpreted as ""egregiously insulting"".  Strange times we live in.",1
@erickasiago5194,the west is done,1
@Lumbersnackk,"Listen, he can sit there and be blatantly disrespectful to someones face and thats perfectly fine, but the moment the person being disrespected has had enough, its a problem? Lmaoooo you dont get to be that way and then play the victim.",1
@lunanyx8592,Gotta love seeing lil Bennie squirm.,1
@RealSnarb,Zoey is based and 1000% justified in what she said. With the amount of horrible shit he says regularly I'd expect people to just spontaneously punch him upon seeing him in public,1
@gautiergueguen,"Why all the fuss?

""Oh excuse me, there's a misunderstanding. You're talking about gender identity, and I'm not. I consider that personnal and don't care about it. You identify to whatever you want. I use the words ""man"" and ""woman"" in their biological meaning, and I use pronouns and names that refer to them instead of the gender identity. Now that's clear, can we resume the conversation sir?""",0
@luismuro6818,"I wonder  if a male puts on or takes away on his body or from his body anything in order to look like a female, I wonder  if he goes to a gynecologist for checkups or to what specialist  HE goes?",1
@catboyedgeworth2469,"crazy how these comments think ""having a spine"" means deliberately trying to provoke a reaction in someone who the audience is already biased against",0
@LuckyEagle640,Yeah youâ€™re a woman and thatâ€™s why you used your male physical strength and testosterone energy to scare another man. Get outta here. Women are not crazy men.,1
@kingcannabis4208,He was very polite honestly. He even says heâ€™s call her whatever the fuck she wants to be called but called him out for the hypocrisy and plain stupidity. I wouldnâ€™t say questioning oneâ€™s opinions is inherently evil or rude. Canâ€™t really say to each their own anymore as itâ€™s taken quite literally now and collectively these people have an iq of a 3rd grader. Did you see how scared the black dude was? He basically said he wouldnâ€™t touch this conversation with a 10 foot pole he just literally doesnâ€™t like Bruce. â€œTo hell with the real problems Iâ€™ll play into your delusions but man I donâ€™t like youâ€_x009d_ is absolutely wild,1
@FrozenCappucino,"Is that trans woman using genetics to justify being a â€œwomanâ€_x009d_? He has XY CHROMOSOMES, which makes him a biological man.",1
@geoffreyhatchman7915,"How pathetic are these presenters,  no balls at all. Your male , your male , your female your female ,",1
@diogenes.,"That moment when you get confused which of these two you hate more ,but of course it's Shapiro",1
@paulstevenson789,"The Judgments of God are Long Awaited, Commonly Rejected, Absolutely Certain and Terribly Severe!!",0
@spoders92,"Whole panel of woke cowards, stroking each otherâ€™s delusions.",1
@CaptainnWalrus,"""Why are we mainstreaming delusion?"" *is deeply religious and wears a yarmulke*",1
@Bungle-UK,That man is so ladylike ðŸ˜‚ðŸ˜‚,1
@zinoviyatotodova1116,if Jenner is woman now why  he keep his penis and testikles,1
@brendenharper9898,TRUE DELUSION AT ITS FINEST... shoutout to ben,1
@mystery5719,"Zoey Tur what a weird ass last name,BTW.. In our language Tur means poison",1
@lula4448,"Well, that wasnâ€™t very lady likeðŸ˜‚",1
@FalconEye3600,"Even today, it is sad that we still have to put up with these circus freaks.",1
@robb6059,"PrabhupÄ_x0081_da: The bodily structure, it can be changed. Perhaps you know, now in medical science they can change the woman's body into man's body, and the man's body into woman's body. It was formerly being also changed. In BhÄ_x0081_gavata you'll find that in a gardenâ€”I forget the nameâ€”in a garden where Lord Åšiva was engaged with UmÄ_x0081_, husband and wife, all of a sudden many saintly persons entered to see Lord Åšiva. At that time UmÄ_x0081_, PÄ_x0081_rvatÄ«, became very much ashamed. She was not very properly dressed. So immediately the saintly persons, they left, that ""Lord Åšiva is now in his private affairs."" So Lord Åšiva, to please PÄ_x0081_rvatÄ«, he immediately said, ""Hence forward, anyone who will enter this forest, he'll become woman."" So one king, I forget the name, with his party, without the knowledge he entered the forest, and all of them became women.
So the idea is that the man's body can be transformed into woman's body, and a woman's body can be transformed into man's body. Because we are not this body, dress. Suppose I have got this dress. This man's dress I can transform into woman's dress with a sari; but that does not mean I am woman. So every one of us living entities, we are part and parcel of the Supreme Lord. The outward dress, man and woman, that is dress. VÄ_x0081_sÄ_x0081_á¹_x0081_si jÄ«rá¹‡Ä_x0081_ni yathÄ_x0081_ vihÄ_x0081_ya [Bg. 2.22]. We are changing this dress.",0
@urielcastaneda1895,Sadly in this world evil and ignorance are stronger then righteousness and reason.,0
@woman2251,"Going home in an ambulence...? Really? That's ok to say?
And no.. being transgender isn't the ""bravest"" thing .. i respect every person not because he/ she transgender but because the person is a nice good logical being.
Yet saying this is the bravest thing... no..",0
@Anonyomus,"""Touch me one more time and I'll kick you in the balls"" would've been adequate answer",1
@Whatsindabusches,That wasnâ€™t very lady like!!!,1
@madelyndaley8083,If you got a Dick you ain't a Chick,1
@JustSomeKittenwithaGun,That ambulance threat was hilarious,0
@Nuggs-and-Fries,Is *he* a dumbahh,1
@Nuggs-and-Fries,"""That's not very lady-like, sir,""",1
@Mikel-bg7bq,Zoey getting riled up and threatening ben is still hilarious ðŸ˜‚,0
@mexicanoaliendrunk5987,He is a man ðŸ˜‚period,0
@junah1986,"That's not your mother, it's a man, baby!",1
@SweetandSourohmy,Lol Dr. Drew.  He's so composed. ðŸ_x008d_¿,0
@bradfordflynn4645,HE acted just like a MAN would. HE pushed HIS MASCULINITY on Ben. Proving HE is a MAN. ðŸ˜‚ðŸ˜‚,0
@JustAGuyProduction,That wasn't very ladylike of him,1
@mimi1girl2dempsey3,Kick Jenner in the balls and watch how female he really feels after that.,1
@jessysmith7953,â_x009d_¤ï¸_x008f_â_x009d_¤ï¸_x008f_â_x009d_¤ï¸_x008f_ Ben Shapiro â_x009d_¤ï¸_x008f_â_x009d_¤ï¸_x008f_â_x009d_¤ï¸_x008f_,
@XYisnotXX,"You cut that out now or you will go home in an ambulance? How lady like he is! Still i wouldn't take him on, he looks tough!",1
@howardmckenna,"You go to Hospital in an ambulance, you go home in an Uber!",0
@howardmckenna,That Zoe *bloke* only has that view concerning Bruce as it validates his own position by proxy!,0
@rafaelgomez1989,I see a  BRO ðŸ˜® on a PURPLE  DRESS  ...,0
@teeteethomas24,Anyone have the link to this full ep I can't find it,0
@sliverskittle,Where is the full debat on this?,0
@agilitypop6859,"â€œBut Ben you knew saying it that way would be egregiously insulting to zoeâ€_x009d_ 

Where the hell do they get these people from?",1
@Userh009,"Klinfelter syndrome , turner syndrome etc are genetic disorders and how is this related to their problem LOL . This old dude wearing skirt and lipstick needs to read a book on genetic disorders!!",1
@sydneybego8874,Oh ben was being rude? At least he wasn't threatening physical violence like a child,0
@DBSnooper,Ben wins again!,0
@Welcometohaileyshardware,Absolute W!!!,0
@RobertRoser-h7c,"Who cares Shapiro????  Christine Jorgenson came out in 1952.  World hasn't come to an end,",1
@nyhyl,"It has been already scietifically researched and proven that transgender people have developed the brain of the certain gender in the uterus, despite having chromosomes of the opposite sex. Their brains are in its core literally transgender.
That being said, I find that theat of Zoey absolutely disgusting and pathetic. You have to keep your composure in a situation like that. It is not a fucking bar.",1
@okrkyokrky,"If I were Ben I wdv said.."" dont put your hands on me""  "" Im not assaulting you, keep your hands off me""",1
@seangaw6429,No fan of Benny but putting your hand on someone and making a threat is a crime.,0
@vidhead85,I laughed when she said that.,0
@Itswayningout,That dude needs to quit threatening people,0
@EzaVinylAddict,I am being rude so it's ok to be threatened with bodily harm? People that are bad at debates resort to name-calling and threats.,1
